time,open,high,low,close,Senkou A,Senkou B,Buy,Sell,Volume,Volume MA
2022-02-21T00:00:00Z,38384.09,38413.11,38229.83,38256.64,NaN,NaN,0,0,16.21407155,NaN
2022-02-21T00:05:00Z,38249.05,38336.2,38208.64,38320.18,NaN,NaN,0,0,3.89646383,NaN
2022-02-21T00:10:00Z,38302.01,38461.51,38297.86,38461.51,NaN,NaN,0,0,2.34726919,NaN
2022-02-21T00:15:00Z,38415.38,38473.82,38411.21,38429.04,NaN,NaN,0,0,1.07353745,NaN
2022-02-21T00:20:00Z,38364.2,38375.31,38307.12,38308.88,NaN,NaN,0,0,0.43886273,NaN
2022-02-21T00:25:00Z,38309.19,38344,38302.09,38341.9,NaN,NaN,0,0,1.19610328,NaN
2022-02-21T00:30:00Z,38324.1,38392.21,38293.98,38382.3,NaN,NaN,0,1,4.19643761,NaN
2022-02-21T00:35:00Z,38395.01,38411.51,38372.51,38409.9,NaN,NaN,0,0,1.92341141,NaN
2022-02-21T00:40:00Z,38405.2,38439.92,38387.8,38439.91,NaN,NaN,0,0,0.23216278,NaN
2022-02-21T00:45:00Z,38416.72,38417.98,38344.57,38373.07,NaN,NaN,0,0,3.33548712,NaN
2022-02-21T00:50:00Z,38366.98,38624.67,38364.6,38616.77,NaN,NaN,1,0,3.5777973,NaN
2022-02-21T00:55:00Z,38622.39,38781.36,38622.39,38777.48,NaN,NaN,0,0,9.47934238,NaN
2022-02-21T01:00:00Z,38775.67,38775.67,38598.38,38673.51,NaN,NaN,0,0,3.92545167,NaN
2022-02-21T01:05:00Z,38678.35,38974.68,38678.35,38938.49,NaN,NaN,0,0,45.35313899,NaN
2022-02-21T01:10:00Z,38934.03,39153.45,38920.6,39103.14,NaN,NaN,0,0,16.14371866,NaN
2022-02-21T01:15:00Z,39084.03,39173.85,38969.51,39173.85,NaN,NaN,0,0,10.71777869,NaN
2022-02-21T01:20:00Z,39154.95,39154.95,38970,39063.47,NaN,NaN,0,0,4.92671319,NaN
2022-02-21T01:25:00Z,39046.83,39059.13,38972.41,39021.17,NaN,NaN,0,0,1.44095547,NaN
2022-02-21T01:30:00Z,39026.02,39287.88,39016.61,39223.76,NaN,NaN,0,1,15.55428999,NaN
2022-02-21T01:35:00Z,39226.15,39397.63,39226.15,39385.71,NaN,NaN,0,0,14.69899338,8.033599334
2022-02-21T01:40:00Z,39385.71,39387.01,39166.89,39190.26,NaN,NaN,0,0,83.8619858,11.41599505
2022-02-21T01:45:00Z,39206.24,39257.43,39174.02,39255.76,NaN,NaN,0,0,10.88528194,11.76543595
2022-02-21T01:50:00Z,39223.55,39320.56,39205.07,39279.85,NaN,NaN,0,0,2.26117662,11.76113132
2022-02-21T01:55:00Z,39284.7,39291.68,39149.85,39149.85,NaN,NaN,0,0,3.69364667,11.89213678
2022-02-21T02:00:00Z,39161.14,39231.88,39114.76,39226.86,NaN,NaN,0,0,4.24571498,12.0824794
2022-02-21T02:05:00Z,39231.76,39231.76,39117.87,39117.87,NaN,NaN,0,0,0.28268892,12.03680868
2022-02-21T02:10:00Z,39105.91,39166.33,39097.18,39114.88,NaN,NaN,0,0,1.36679078,11.89532634
2022-02-21T02:15:00Z,39107.09,39190.9,39107.09,39190.9,NaN,NaN,0,0,2.81157376,11.93973445
2022-02-21T02:20:00Z,39181.55,39181.55,39084.7,39084.7,NaN,NaN,0,0,3.06643789,12.08144821
2022-02-21T02:25:00Z,39083.44,39123.82,39064.7,39100.36,NaN,NaN,0,0,0.5804243,11.94369507
2022-02-21T02:30:00Z,39123.94,39185.65,39121.66,39163.25,NaN,NaN,0,0,0.38888328,11.78424937
2022-02-21T02:35:00Z,39148.84,39197.96,39148.84,39169.25,NaN,NaN,1,0,1.12963612,11.36676405
2022-02-21T02:40:00Z,39161.54,39180.25,39142.65,39145.97,NaN,NaN,0,0,0.26708018,11.18384548
2022-02-21T02:45:00Z,39171.05,39247.04,39157.85,39239.86,NaN,NaN,0,0,0.61947488,8.947162275
2022-02-21T02:50:00Z,39241.16,39272.07,39217.42,39220.54,NaN,NaN,0,0,6.96017717,8.487985201
2022-02-21T02:55:00Z,39206.54,39227.86,39117.56,39137.84,NaN,NaN,0,1,2.17371313,8.060781923
2022-02-21T03:00:00Z,39128.65,39139.04,39113.68,39128.69,NaN,NaN,0,0,0.42288498,7.835590512
2022-02-21T03:05:00Z,39137.04,39177.85,39137.04,39169.65,NaN,NaN,1,0,2.40261187,7.883673332
2022-02-21T03:10:00Z,39174.05,39234.46,39173.82,39220.86,NaN,NaN,0,0,0.85358482,7.148638074
2022-02-21T03:15:00Z,39234.26,39239.14,39199.04,39199.04,NaN,NaN,0,0,2.57573418,6.542475114
2022-02-21T03:20:00Z,39188.01,39275.85,39154.55,39211.35,NaN,NaN,0,0,4.71285005,2.585018326
2022-02-21T03:25:00Z,39218.26,39218.26,39172.05,39172.05,NaN,NaN,0,1,0.36501842,2.05900515
2022-02-21T03:30:00Z,39176.95,39189.82,38927.97,38956.28,NaN,NaN,0,0,7.54621479,2.323257059
2022-02-21T03:35:00Z,38944.59,39020.37,38943.52,39018.57,NaN,NaN,0,0,1.71990383,2.224569917
2022-02-21T03:40:00Z,39001.28,39014.18,38941.49,38986.92,NaN,NaN,0,0,3.77576992,2.201072664
2022-02-21T03:45:00Z,38978.91,38980.68,38881.31,38907.4,NaN,NaN,0,0,5.88805229,2.481340832
2022-02-21T03:50:00Z,38881.31,38950.71,38833.81,38950.71,NaN,NaN,0,0,6.81530583,2.753766585
2022-02-21T03:55:00Z,38968.54,38979.43,38939.65,38939.65,NaN,NaN,0,0,0.53228156,2.639801975
2022-02-21T04:00:00Z,38973.81,39022.48,38956.51,39022.48,NaN,NaN,0,0,0.97835197,2.535397679
2022-02-21T04:05:00Z,39027.09,39044.82,39014.71,39019.78,NaN,NaN,0,0,0.49892518,2.531322723
2022-02-21T04:10:00Z,39023.62,39040.1,39008.89,39039.13,NaN,NaN,1,0,0.51242477,2.537499797
2022-02-21T04:15:00Z,39042.43,39060.13,39000,39000.8,NaN,NaN,0,0,0.83313723,2.522674853
2022-02-21T04:20:00Z,38982.52,39029.32,38972.08,39029.32,NaN,NaN,0,0,0.38558997,2.528600342
2022-02-21T04:25:00Z,39032.72,39032.72,38989.28,38999.61,NaN,NaN,0,0,0.08563785,2.501908491
2022-02-21T04:30:00Z,39000,39124.46,39000,39120.98,NaN,NaN,0,0,3.30844409,2.319321837
2022-02-21T04:35:00Z,39089.68,39123.23,39062.83,39123.23,NaN,NaN,0,0,3.42323032,2.381797696
2022-02-21T04:40:00Z,39096.26,39096.26,39044.13,39044.13,NaN,NaN,0,0,0.55252903,2.388279899
2022-02-21T04:45:00Z,39056.23,39111.43,39056.23,39111.43,NaN,NaN,0,0,0.77272344,2.306785477
2022-02-21T04:50:00Z,39108.97,39264.73,39105.64,39262.43,NaN,NaN,0,0,11.36375098,2.832293785
2022-02-21T04:55:00Z,39264.83,39397.63,39257.07,39318.13,39014.495,NaN,0,0,32.16299627,4.31165689
2022-02-21T05:00:00Z,39329.24,39335.38,39285.63,39300.37,38997.8825,NaN,0,0,3.63623008,4.257825891
2022-02-21T05:05:00Z,39286.67,39324.98,39277.61,39296.37,39019.2175,NaN,0,0,0.91769768,4.285459854
2022-02-21T05:10:00Z,39306.88,39334.98,39284.45,39311.18,39011.9975,NaN,0,0,2.34736239,4.025517234
2022-02-21T05:15:00Z,39310.59,39311.69,39256.68,39284.17,39000.8375,NaN,0,1,6.9168877,4.285366428
2022-02-21T05:20:00Z,39288.88,39314.04,39283.17,39310.64,39007.095,NaN,0,0,0.99166623,4.146161243
2022-02-21T05:25:00Z,39312.91,39494.11,39312.91,39403.09,39007.095,NaN,0,0,9.71396703,4.33745698
2022-02-21T05:30:00Z,39429.31,39450.82,39328.27,39337.57,39019.7425,NaN,0,0,6.88447146,4.340915262
2022-02-21T05:35:00Z,39334.82,39334.89,39315.17,39318.78,39019.7425,NaN,0,0,1.21914633,4.3752585
2022-02-21T05:40:00Z,39314.44,39323.78,39285.93,39323.78,39019.7425,NaN,0,0,0.11980491,4.332331147
2022-02-21T05:45:00Z,39280,39300.56,39249.53,39249.53,39036.995,NaN,0,0,3.7917013,4.496969953
2022-02-21T05:50:00Z,39240.1,39288.52,39240.1,39288.52,39096.385,NaN,0,0,0.72812002,4.507754716
2022-02-21T05:55:00Z,39297.07,39304.49,39242.71,39255.96,39096.385,NaN,0,0,0.4576087,4.488978289
2022-02-21T06:00:00Z,39242.71,39250.13,39184.96,39190.33,39069.95,NaN,0,0,3.30299791,4.634848686
2022-02-21T06:05:00Z,39240.89,39246.96,39199.55,39219.46,39130.5125,NaN,0,0,0.84881378,4.673007483
2022-02-21T06:10:00Z,39235.26,39287.67,39220.84,39227.54,39132.355,NaN,0,0,4.24868122,4.720019339
2022-02-21T06:15:00Z,39233.08,39237.06,39180,39212.56,39109.025,NaN,0,0,2.89965692,4.693840669
2022-02-21T06:20:00Z,39214.06,39243.96,39207.16,39243.96,39085.275,NaN,0,0,0.10055486,4.671241961
2022-02-21T06:25:00Z,39252.26,39252.26,39214.56,39250.06,39085.275,NaN,0,0,0.18190884,4.641701231
2022-02-21T06:30:00Z,39256.17,39288.53,39256.17,39280.37,39085.275,NaN,1,0,2.61420041,4.204223702
2022-02-21T06:35:00Z,39281.07,39290,39239.56,39258.83,39082.62,NaN,0,0,2.15618017,2.703882897
2022-02-21T06:40:00Z,39272.07,39276.6,39217.64,39236.36,39051.61,NaN,0,1,0.92738877,2.568440832
