time,open,high,low,close,Senkou A,Senkou B,Buy,Sell,Volume,Volume MA
2022-05-02T00:00:00Z,38484.46,38516.32,38462.9,38511.36,NaN,NaN,0,0,0.98887023,NaN
2022-05-02T00:05:00Z,38517.59,38604.19,38517.59,38565.34,NaN,NaN,0,0,2.15702304,NaN
2022-05-02T00:10:00Z,38585.21,38585.24,38549.51,38567.11,NaN,NaN,0,0,0.58150056,NaN
2022-05-02T00:15:00Z,38566.88,38750,38566.88,38638.59,NaN,NaN,0,0,32.18044884,NaN
2022-05-02T00:20:00Z,38609.41,38789.07,38606.46,38724.55,NaN,NaN,0,0,3.49189039,NaN
2022-05-02T00:25:00Z,38737.5,38741.63,38705.74,38706.67,NaN,NaN,0,0,1.6086878,NaN
2022-05-02T00:30:00Z,38707.3,38814.57,38651.59,38795.88,NaN,NaN,0,0,0.78639145,NaN
2022-05-02T00:35:00Z,38736.41,38750.23,38700.81,38726.97,NaN,NaN,0,0,0.03725659,NaN
2022-05-02T00:40:00Z,38730.68,38799.16,38730.68,38746.39,NaN,NaN,0,0,0.78454672,NaN
2022-05-02T00:45:00Z,38746.39,38746.39,38624.46,38664.45,NaN,NaN,0,1,0.1343411,NaN
2022-05-02T00:50:00Z,38666.36,38674.08,38637.84,38652.64,NaN,NaN,0,0,0.05960174,NaN
2022-05-02T00:55:00Z,38653.94,38691.48,38653.94,38680.01,NaN,NaN,1,0,0.5100427,NaN
2022-05-02T01:00:00Z,38701,38736.97,38684.24,38710.57,NaN,NaN,0,0,0.61121382,NaN
2022-05-02T01:05:00Z,38678.09,38754.95,38670.21,38754.95,NaN,NaN,0,0,3.59310119,NaN
2022-05-02T01:10:00Z,38736.81,38743.86,38697.13,38710.93,NaN,NaN,0,1,0.48939737,NaN
2022-05-02T01:15:00Z,38681.01,38686.76,38624.54,38652.65,NaN,NaN,0,0,0.23001083,NaN
2022-05-02T01:20:00Z,38650.4,38661.49,38621.25,38639.73,NaN,NaN,0,0,0.16858959,NaN
2022-05-02T01:25:00Z,38645.11,38656.75,38599.99,38622.65,NaN,NaN,0,0,23.9578641,NaN
